time4sub,time11sub,solution?,n,blocked/n^2,time4,time11,Satisfiable?,correct winner
0.0654757261,0.2621230125,1,50,0.0004,0.2156302929,2.3461883068,SAT,queen4
0.0724595428,0.2390566587,1,50,0.0008,0.2269067764,1.9042723179,SAT,queen4
0.0735944986,0.2356788556,1,50,0.0012,0.2555224895,2.1227588654,SAT,queen4
0.0723226607,0.2316709638,1,50,0.0016,0.2339806557,2.2409393787,SAT,queen4
0.0716459751,0.2334459829,1,50,0.002,0.2391064167,1.928951025,SAT,queen4
0.0731427987,0.2294831554,1,50,0.0024,0.2242846489,2.3311910629,SAT,queen4
0.0740589448,0.2297798668,1,50,0.0028,0.2157242298,1.4563965797,SAT,queen4
0.0718915731,0.2239451379,1,50,0.0032,0.1879322529,1.2645599842,SAT,queen4
0.0694407622,0.2147614744,1,50,0.0036,0.1765127182,1.3381903172,SAT,queen4
0.0669217515,0.2082671165,1,50,0.004,0.131131649,1.7022233009,SAT,queen4
0.0654582761,0.2059134288,1,50,0.0044,0.1391031742,1.6247205734,SAT,queen4
0.0647469262,0.2067936718,1,50,0.0048,0.1849033833,1.855522871,SAT,queen4
0.0642899678,0.2073231624,1,50,0.0052,0.2146427631,2.1396136284,SAT,queen4
0.0641847968,0.2067944884,1,50,0.0056,0.2106966972,2.1731283665,SAT,queen4
0.0628618956,0.204325099,1,50,0.006,0.125934124,1.299598217,SAT,queen4
0.0622557148,0.2026127011,1,50,0.0064,0.1744968891,1.8642444611,SAT,queen4
0.0620768898,0.2011482084,1,50,0.0068,0.1637947559,1.6164908409,SAT,queen4
0.0613483853,0.1990389585,1,50,0.0072,0.1724152565,1.3970537186,SAT,queen4
0.0605844385,0.1961475849,1,50,0.0076,0.182117939,1.284001112,SAT,queen4
0.0598134208,0.194568696,1,50,0.008,0.1109240055,1.5333611965,SAT,queen4
0.0590012289,0.1922418208,1,50,0.0084,0.2034373283,1.394384861,SAT,queen4
0.0581263152,0.189498172,1,50,0.0088,0.1171784401,1.1686751842,SAT,queen4
0.057569622,0.1878000311,1,50,0.0092,0.1143641472,1.3053143024,SAT,queen4
0.0571275125,0.1862855226,1,50,0.0096,0.1687264442,1.5702102184,SAT,queen4
0.0565662832,0.1849674044,1,50,0.01,0.1514372826,1.5495827198,SAT,queen4
0.0560597594,0.1837688501,1,50,0.0104,0.1398217678,1.331145525,SAT,queen4
0.0556341048,0.1828957487,1,50,0.0108,0.1600823402,1.4543845654,SAT,queen4
0.0551856228,0.1820250085,1,50,0.0112,0.1153850555,1.5202071667,SAT,queen4
0.0550105407,0.1810411363,1,50,0.0116,0.1692955494,1.8176648617,SAT,queen4
0.0545843156,0.1800430775,1,50,0.012,0.1085765362,1.2353434563,SAT,queen4
0.0542420333,0.1791036421,1,50,0.0124,0.1153409481,1.1293253899,SAT,queen4
0.0539450049,0.1779745571,1,50,0.0128,0.1107800007,1.2131454945,SAT,queen4
0.0536588358,0.1774200057,1,50,0.0132,0.1312019825,1.2993593216,SAT,queen4
0.053227614,0.1761058541,1,50,0.0136,0.127948761,1.0994246006,SAT,queen4
0.0529056038,0.1752114534,1,50,0.014,0.1334409714,1.133300066,SAT,queen4
0.0527625481,0.1746291048,1,50,0.0144,0.1027457714,1.284003973,SAT,queen4
0.0524063645,0.1737763965,1,50,0.0148,0.1424503326,1.3909122944,SAT,queen4
0.0521457352,0.1727092279,1,50,0.0152,0.1318533421,1.1458172798,SAT,queen4
0.0520200436,0.1720685635,1,50,0.0156,0.1133642197,1.3308062553,SAT,queen4
0.0517360377,0.1710645503,1,50,0.016,0.1266081333,1.1505894661,SAT,queen4
0.0516625317,0.1704622565,1,50,0.0164,0.1143527031,1.1452908516,SAT,queen4
0.0515341043,0.1702856104,1,50,0.0168,0.1538596153,1.4141256809,SAT,queen4
0.051386582,0.1696478212,1,50,0.0172,0.1495559216,1.314789772,SAT,queen4
0.051301786,0.1692543501,1,50,0.0176,0.1324234009,1.4093060493,SAT,queen4
0.0511416631,0.168966625,1,50,0.018,0.174618721,1.2690896988,SAT,queen4
0.0508977506,0.1681102608,1,50,0.0184,0.1320180893,1.1854138374,SAT,queen4
0.0508405244,0.1677912195,1,50,0.0188,0.1507053375,1.1309149265,SAT,queen4
0.0508683175,0.1672561576,1,50,0.0192,0.1457083225,1.2171452045,SAT,queen4
0.0508879126,0.1673025735,1,50,0.0196,0.1238670349,1.3118963242,SAT,queen4
0.0508613815,0.1673237534,1,50,0.02,0.1290626526,1.3511734009,SAT,queen4
0.0508480582,0.1671357688,1,50,0.0204,0.1783261299,1.4024395943,SAT,queen4
0.0508158661,0.1671039513,1,50,0.0208,0.1626622677,1.4146568775,SAT,queen4
0.0507353648,0.1668725198,1,50,0.0212,0.1714687347,1.3526909351,SAT,queen4
0.0506631992,0.1665021817,1,50,0.0216,0.1697075367,1.3064002991,SAT,queen4
0.0506369877,0.1662938521,1,50,0.022,0.1768729687,1.3980426788,SAT,queen4
0.0506529157,0.1660895484,1,50,0.0224,0.1707918644,1.412668705,SAT,queen4
0.0505406698,0.1659384799,1,50,0.0228,0.1871294975,1.5128180981,SAT,queen4
0.0505035696,0.1655414795,1,50,0.0232,0.168245554,1.4491779804,SAT,queen4
0.0504456682,0.1652280108,1,50,0.0236,0.1851315498,1.3831903934,SAT,queen4
0.0504553258,0.1651483897,1,50,0.024,0.2032032013,1.3988313675,SAT,queen4
0.0503085777,0.1650690302,1,50,0.0244,0.1330020428,1.3876039982,SAT,queen4
0.0502266449,0.1646667115,1,50,0.0248,0.1598072052,1.5719056129,SAT,queen4
0.0501533561,0.164330132,1,50,0.0252,0.11500597,1.2891499996,SAT,queen4
0.0500457082,0.1639048859,1,50,0.0256,0.1298465729,1.1831796169,SAT,queen4
0.0499505248,0.1637115251,1,50,0.026,0.1298139095,1.4346227646,SAT,queen4
0.0499259096,0.1636668816,1,50,0.0264,0.1441364288,1.3818430901,SAT,queen4
0.0499057218,0.1635619149,1,50,0.0268,0.1641778946,1.416118145,SAT,queen4
0.0498817086,0.1633999853,1,50,0.0272,0.1702530384,1.4625241756,SAT,queen4
0.0497968981,0.1631361585,1,50,0.0276,0.1704549789,1.3767323494,SAT,queen4
0.0497690841,0.16305039,1,50,0.028,0.2046833038,1.4457418919,SAT,queen4
0.0498290005,0.1628460364,1,50,0.0284,0.1663138866,1.6287255287,SAT,queen4
0.0497516268,0.1625455515,1,50,0.0288,0.1464157104,1.2348811626,SAT,queen4
0.0496680286,0.1625825497,1,50,0.0292,0.1224980354,1.4225947857,SAT,queen4
0.0496212676,0.1622929219,1,50,0.0296,0.1357769966,1.4233469963,SAT,queen4
0.0495398591,0.1620670608,1,50,0.03,0.1348793507,1.4628560543,SAT,queen4
0.0494895656,0.1618389123,1,50,0.0304,0.1347277164,1.4797916412,SAT,queen4
0.0495139645,0.1618711859,1,50,0.0308,0.162954092,1.4447865486,SAT,queen4
0.0494166359,0.1614685872,1,50,0.0312,0.1173341274,1.4414436817,SAT,queen4
0.0493995552,0.1613822985,1,50,0.0316,0.1555957794,1.2576401234,SAT,queen4
0.0493911818,0.1612501851,1,50,0.032,0.1545646191,1.4160032272,SAT,queen4
0.0493159789,0.1609376963,1,50,0.0324,0.1437551975,1.1966612339,SAT,queen4
0.0492732923,0.1609418697,1,50,0.0328,0.1323738098,1.2629568577,SAT,queen4
0.0492808661,0.1608611095,1,50,0.0332,0.1372351646,1.387566328,SAT,queen4
0.0491993592,0.1605078499,1,50,0.0336,0.155176878,1.5089764595,SAT,queen4
0.0492724393,0.160518301,1,50,0.034,0.1138081551,1.3990705013,SAT,queen4
0.0492508015,0.1605461891,1,50,0.0344,0.1716277599,1.3779139519,SAT,queen4
0.0493326645,0.1605881609,1,50,0.0348,0.132692337,1.3487918377,SAT,queen4
0.0493020182,0.1603971955,1,50,0.0352,0.1487803459,1.5802481174,SAT,queen4
0.0492350873,0.1601613591,1,50,0.0356,0.1086201668,1.1705424786,SAT,queen4
0.0492011608,0.1600968631,1,50,0.036,0.1269989014,1.3865647316,SAT,queen4
0.0491312155,0.1598137934,1,50,0.0364,0.1717364788,1.5316479206,SAT,queen4
0.0491168517,0.1597076237,1,50,0.0368,0.1795580387,1.4319479465,SAT,queen4
0.049094337,0.1597396574,1,50,0.0372,0.1383206844,1.7015743256,SAT,queen4
0.0492024282,0.1599970881,1,50,0.0376,0.1752398014,2.4127926826,SAT,queen4
0.0492333866,0.1602362083,1,50,0.038,0.1852042675,2.0619671345,SAT,queen4
0.0493924526,0.160732953,1,50,0.0384,0.2127554417,2.2857711315,SAT,queen4
0.0494708604,0.1608954105,1,50,0.0388,0.1275818348,1.3147923946,SAT,queen4
0.0493374788,0.1603636223,1,50,0.0392,0.1074836254,1.0426793098,SAT,queen4
0.0491319931,0.1598116049,1,50,0.0396,0.0593721867,0.6566598415,SAT,queen4
0.0488296132,0.1588968248,1,50,0.04,0.1108009815,0.9200434685,SAT,queen4
0.0486162521,0.158200132,1,50,0.0404,0.0587832928,0.9735152721,SAT,queen4
0.0483536248,0.1575552866,1,50,0.0408,0.0556564331,0.6604955196,SAT,queen4
0.0481113075,0.1567508443,1,50,0.0412,0.0653693676,1.0070888996,SAT,queen4
0.0478977848,0.1561015876,1,50,0.0416,0.0944588184,0.8674266338,SAT,queen4
0.0476247865,0.1553189723,1,50,0.042,0.0661137104,0.695420742,SAT,queen4
0.0473557686,0.1544609011,1,50,0.0424,0.0487811565,0.7047152519,SAT,queen4
0.0471343103,0.1537505157,1,50,0.0428,0.0487234592,0.6908564568,SAT,queen4
0.046873586,0.1529769635,1,50,0.0432,0.0600824356,0.6530385017,SAT,queen4
0.0466052418,0.1522059001,1,50,0.0436,0.0571963787,0.6745889187,SAT,queen4
0.0463514657,0.1514014979,1,50,0.044,0.072586298,0.7233040333,SAT,queen4
0.0460909132,0.1506218096,1,50,0.0444,0.0606179237,0.6902120113,SAT,queen4
0.0458481554,0.1498469742,1,50,0.0448,0.0782706738,0.6742155552,SAT,queen4
0.045611597,0.1491240862,1,50,0.0452,0.0606095791,0.6960887909,SAT,queen4
0.0453969832,0.1484983844,1,50,0.0456,0.0501010418,0.6591267586,SAT,queen4
0.0451608123,0.1477651457,1,50,0.046,0.0497422218,0.7389764786,SAT,queen4
0.0449664841,0.1471945769,1,50,0.0464,0.085723877,0.7731230259,SAT,queen4
0.0447859202,0.1466862723,1,50,0.0468,0.1304643154,0.9860899448,SAT,queen4
0.0446352353,0.1461825906,1,50,0.0472,0.0997047424,0.7505748272,SAT,queen4
0.0444483471,0.1455700466,1,50,0.0476,0.0744597912,0.8394377232,SAT,queen4
0.0442392323,0.1449262544,1,50,0.048,0.0672738552,0.8670613766,SAT,queen4
0.0440466235,0.1443455434,1,50,0.0484,0.0628504753,0.7374162674,SAT,queen4
0.043834921,0.1436749075,1,50,0.0488,0.0575106144,0.6777455807,SAT,queen4
0.0436343672,0.1430004895,1,50,0.0492,0.0635063648,0.7234964371,SAT,queen4
0.0434270588,0.1423719283,1,50,0.0496,0.065015316,0.6801846027,SAT,queen4
0.043232192,0.1417838476,1,50,0.05,0.0695364475,0.7078948021,SAT,queen4
0.0430341285,0.1412028188,1,50,0.0504,0.0560100079,0.7259719372,SAT,queen4
0.0428795037,0.1407541234,1,50,0.0508,0.0780866146,0.7413015366,SAT,queen4
0.0427108582,0.1403033471,1,50,0.0512,0.0757069588,0.8725824356,SAT,queen4
0.0425202728,0.1397022639,1,50,0.0516,0.0722365379,0.7010829449,SAT,queen4
0.0423424314,0.1391637006,1,50,0.052,0.0735285282,0.6990702152,SAT,queen4
0.0421744598,0.1386421238,1,50,0.0524,0.0769207478,0.6953361034,SAT,queen4
0.0420092985,0.1381512741,1,50,0.0528,0.0613708496,0.6744031906,SAT,queen4
0.0418447261,0.1376023101,1,50,0.0532,0.0637514591,0.7369019985,SAT,queen4
0.0416776122,0.1371323984,1,50,0.0536,0.0869040489,0.7384459972,SAT,queen4
0.041502937,0.1365744875,1,50,0.054,0.0664274693,0.7042915821,SAT,queen4
0.0413420216,0.1360537263,1,50,0.0544,0.062309742,0.7411763668,SAT,queen4
0.0411828467,0.1355165605,1,50,0.0548,0.0519931316,0.7032442093,SAT,queen4
0.0410246573,0.1350221242,1,50,0.0552,0.070510149,0.6578636169,SAT,queen4
0.0408597402,0.1345619145,1,50,0.0556,0.0833463669,0.6524710655,SAT,queen4
0.0407124783,0.1340520324,1,50,0.056,0.0892395973,0.6934585571,SAT,queen4
0.0405514474,0.1335587361,1,50,0.0564,0.0575659275,0.7103869915,SAT,queen4
0.040390023,0.1330767506,1,50,0.0568,0.0703914165,0.7091593742,SAT,queen4
0.0402397041,0.1326204805,1,50,0.0572,0.0594563484,0.7235765457,SAT,queen4
0.0400922661,0.1321413974,1,50,0.0576,0.0563669205,0.7586500645,SAT,queen4
